SKU	Quantity	SellingVenue
A10296	48	AmazonUS
A10300	12	AmazonUS
A10301	20	AmazonUS
A10346	440	AmazonUS
A10403	105	AmazonUS
A10466	32	AmazonUS
A10481	2	AmazonUS
A10505	7	AmazonUS
A10557	175	AmazonUS
A10571	451	AmazonUS
A10576	901	AmazonUS
A10585	202	AmazonUS
A10592	92	AmazonUS
A10595	566	AmazonUS
A10596	573	AmazonUS
A10597	1337	AmazonUS
A10637	18	AmazonUS
A10647	359	AmazonUS
A10651	262	AmazonUS
A10653	195	AmazonUS
A10654	390	AmazonUS
A10680	32	AmazonUS
A10682	0	AmazonUS
A10683	19	AmazonUS
A10728	2	AmazonUS
A10736	55	AmazonUS
A10849	2	AmazonUS
A10894	10	AmazonUS
A10950	17	AmazonUS
A109639	0	AmazonUS
A110004	0	AmazonUS
A110005	18	AmazonUS
A110014	85	AmazonUS
A110025	0	AmazonUS
A110055	1	AmazonUS
A110061	28	AmazonUS
A110062	50	AmazonUS
A110063	69	AmazonUS
A110069	61	AmazonUS
A110070	28	AmazonUS
A110073	45	AmazonUS
A110083	50	AmazonUS
A110141	92	AmazonUS
A110292	112	AmazonUS
A11055	29	AmazonUS
A110690	0	AmazonUS
A11077	254	AmazonUS
A11077F	41	AmazonUS
A11095	15	AmazonUS
A110956	28	AmazonUS
A110956_2	0	AmazonUS
A110956_3	0	AmazonUS
A110966	0	AmazonUS
A110966-BLK	0	AmazonUS
A110966-GR	0	AmazonUS
A110966-OR	-1	AmazonUS
A110966-PU	0	AmazonUS
A110966-RB	0	AmazonUS
A110966-RE	0	AmazonUS
A110966-WH	0	AmazonUS
A110966-YE	0	AmazonUS
A110986	29	AmazonUS
A11099	0	AmazonUS
A111000	130	AmazonUS
A111002	82	AmazonUS
A111010	94	AmazonUS
A111011	181	AmazonUS
A111013	117	AmazonUS
A111017	107	AmazonUS
A111034	190	AmazonUS
A111036	372	AmazonUS
A111039	187	AmazonUS
A111040	115	AmazonUS
A111041	0	AmazonUS
A111056	66	AmazonUS
A111057	175	AmazonUS
A11106	51	AmazonUS
A11107	118	AmazonUS
A11108	97	AmazonUS
A111087	9	AmazonUS
A111088	112	AmazonUS
A111089	58	AmazonUS
A11109	18	AmazonUS
A111091	38	AmazonUS
A111092	38	AmazonUS
A111093	29	AmazonUS
A111094	0	AmazonUS
A111096	131	AmazonUS
A11110	187	AmazonUS
A111115	46	AmazonUS
A111118	37	AmazonUS
A111119	22	AmazonUS
A11112	246	AmazonUS
A111122	29	AmazonUS
A11113	312	AmazonUS
A111136	68	AmazonUS
A11114	47	AmazonUS
A111140	0	AmazonUS
A111199	85	AmazonUS
A111205	71	AmazonUS
A111205_2	0	AmazonUS
A111320	174	AmazonUS
A111346	142	AmazonUS
A111370	56	AmazonUS
A111400	10	AmazonUS
A111508	80	AmazonUS
A111510	120	AmazonUS
A111773	132	AmazonUS
A111796	127	AmazonUS
A111805	59	AmazonUS
A111995	98	AmazonUS
A112003	13	AmazonUS
A112008	0	AmazonUS
A112012	20	AmazonUS
A112113	67	AmazonUS
A112114	27	AmazonUS
A112117	128	AmazonUS
A112462	85	AmazonUS
A112463	0	AmazonUS
A112464	73	AmazonUS
A112465	49	AmazonUS
A112472	348	AmazonUS
A11248	63	AmazonUS
A11253	122	AmazonUS
A11287	58	AmazonUS
A11292	36	AmazonUS
A11299	8	AmazonUS
A11301	54	AmazonUS
A11317	42	AmazonUS
A11359	73	AmazonUS
A11360	47	AmazonUS
A113620	0	AmazonUS
A11364	313	AmazonUS
A11366	99	AmazonUS
A113666	2	AmazonUS
A113672	16	AmazonUS
A113673	38	AmazonUS
A113693	0	AmazonUS
A113718	0	AmazonUS
A113719	0	AmazonUS
A113721	0	AmazonUS
A113722	0	AmazonUS
A113724	53	AmazonUS
A113725	87	AmazonUS
A113726	0	AmazonUS
A113727	0	AmazonUS
A113728	23	AmazonUS
A113729	10	AmazonUS
A113730	0	AmazonUS
A113731	0	AmazonUS
A113732	46	AmazonUS
A113733	0	AmazonUS
A113734	0	AmazonUS
A113735	0	AmazonUS
A113736	31	AmazonUS
A113737	0	AmazonUS
A113738	0	AmazonUS
A113739	0	AmazonUS
A113741	0	AmazonUS
A113742	0	AmazonUS
A113743	0	AmazonUS
A113745	0	AmazonUS
A113746	0	AmazonUS
A113747	0	AmazonUS
A113754	53	AmazonUS
A11378	106	AmazonUS
A113780	37	AmazonUS
A113781	52	AmazonUS
A113782	10	AmazonUS
A11380	12	AmazonUS
A113802	57	AmazonUS
A11383	79	AmazonUS
A113846	89	AmazonUS
A113847	94	AmazonUS
A113852	17	AmazonUS
A113901	117	AmazonUS
A11399	93	AmazonUS
A114002	93	AmazonUS
A11406	113	AmazonUS
A11417	90	AmazonUS
A114181	163	AmazonUS
A114321	65	AmazonUS
A114423	40	AmazonUS
A114424	0	AmazonUS
A114425	0	AmazonUS
A114426	1	AmazonUS
A114427	0	AmazonUS
A114428	0	AmazonUS
A114526	0	AmazonUS
A114528	3	AmazonUS
A11460	24	AmazonUS
A11476	117	AmazonUS
A115006	0	AmazonUS
A115008	137	AmazonUS
A115009	48	AmazonUS
A115010	43	AmazonUS
A115028	0	AmazonUS
A115029	137	AmazonUS
A115030	110	AmazonUS
A115031	104	AmazonUS
A115047	31	AmazonUS
A115053	75	AmazonUS
A115086	44	AmazonUS
A115107	55	AmazonUS
A115108	4	AmazonUS
A115109	114	AmazonUS
A115110	111	AmazonUS
A115112	224	AmazonUS
A115113	271	AmazonUS
A115114	57	AmazonUS
A115115	40	AmazonUS
A115116	93	AmazonUS
A115117	126	AmazonUS
A115118	102	AmazonUS
A115122	91	AmazonUS
A115228	202	AmazonUS
A115263	128	AmazonUS
A115324	10	AmazonUS
A115328	133	AmazonUS
A115409	33	AmazonUS
A115413	95	AmazonUS
A11563	174	AmazonUS
A11566	1207	AmazonUS
A116030	160	AmazonUS
A116034	109	AmazonUS
A116035	47	AmazonUS
A116040	37	AmazonUS
A116041	187	AmazonUS
A116042	165	AmazonUS
A116043	160	AmazonUS
A116049	76	AmazonUS
A116050	89	AmazonUS
A116051	84	AmazonUS
A116053	76	AmazonUS
A116054	19	AmazonUS
A11693	0	AmazonUS
A117003	17	AmazonUS
A117020	182	AmazonUS
A117030	134	AmazonUS
A117032	0	AmazonUS
A117040	248	AmazonUS
A117050	1009	AmazonUS
A117059	102	AmazonUS
A117065	191	AmazonUS
A117102	157	AmazonUS
A117107	155	AmazonUS
A11711	28	AmazonUS
A117153	158	AmazonUS
A117175	0	AmazonUS
A117198	105	AmazonUS
A117199	73	AmazonUS
A117202	26	AmazonUS
A117597	59	AmazonUS
A1177701	384	AmazonUS
A1177703	125	AmazonUS
A1177705	118	AmazonUS
A1177706	506	AmazonUS
A1177707	632	AmazonUS
A1177710	195	AmazonUS
A1177711	173	AmazonUS
A1177714	575	AmazonUS
A1177715	573	AmazonUS
A1177718	474	AmazonUS
A1177719	352	AmazonUS
A117776	82	AmazonUS
A11779	48	AmazonUS
A11780001	99	AmazonUS
A11780003	59	AmazonUS
A11780005	53	AmazonUS
A11780006	47	AmazonUS
A11780007	49	AmazonUS
A11780010	29	AmazonUS
A11780011	24	AmazonUS
A11780014	59	AmazonUS
A11780018	0	AmazonUS
A11780019	0	AmazonUS
A11794	126	AmazonUS
A117980	206	AmazonUS
A117982	143	AmazonUS
A11802	42	AmazonUS
A118032	15	AmazonUS
A118125	0	AmazonUS
A118225	72	AmazonUS
A118230	281	AmazonUS
A118248	20	AmazonUS
A118380	115	AmazonUS
A118381	106	AmazonUS
A118458	73	AmazonUS
A118463	206	AmazonUS
A118589	9	AmazonUS
A118593	86	AmazonUS
A118597	37	AmazonUS
A118762	80	AmazonUS
A11883	136	AmazonUS
A118996	4	AmazonUS
A118997	140	AmazonUS
A118998	19	AmazonUS
A118999	15	AmazonUS
A119001	13	AmazonUS
A119017	117	AmazonUS
A119021	127	AmazonUS
A119100	52	AmazonUS
A119113	144	AmazonUS
A119125	66	AmazonUS
A119126	108	AmazonUS
A119127	131	AmazonUS
A119128	107	AmazonUS
A119133	125	AmazonUS
A119144	163	AmazonUS
A11917	11	AmazonUS
A119254	53	AmazonUS
A119256	26	AmazonUS
A119270	95	AmazonUS
A119290	169	AmazonUS
A119291	135	AmazonUS
A119296	10	AmazonUS
A119298	0	AmazonUS
A119299	65	AmazonUS
A119304	23	AmazonUS
A119307	133	AmazonUS
A119308	68	AmazonUS
A119309	85	AmazonUS
A119310	51	AmazonUS
A119311	35	AmazonUS
A119322	84	AmazonUS
A119324	115	AmazonUS
A119325	36	AmazonUS
A119326	4	AmazonUS
A119327	59	AmazonUS
A11935	50	AmazonUS
A119357	124	AmazonUS
A119420	65	AmazonUS
A119448	0	AmazonUS
A119449	11	AmazonUS
A119453	15	AmazonUS
A119454	29	AmazonUS
A119455	34	AmazonUS
A119456	10	AmazonUS
A119457	53	AmazonUS
A119458	229	AmazonUS
A119459	6	AmazonUS
A119500	52	AmazonUS
A119506	34	AmazonUS
A11952409	17	AmazonUS
A11952411	13	AmazonUS
A11952426	42	AmazonUS
A11952506	26	AmazonUS
A11952507	34	AmazonUS
A11952514	60	AmazonUS
A11952606	31	AmazonUS
A11952609	45	AmazonUS
A11952653	20	AmazonUS
A11952706	10	AmazonUS
A11952709	14	AmazonUS
A11952801	73	AmazonUS
A11952807	21	AmazonUS
A11952853	24	AmazonUS
A11952911	15	AmazonUS
A11952914	27	AmazonUS
A119530	27	AmazonUS
A119531	84	AmazonUS
A119534	98	AmazonUS
A119535	102	AmazonUS
A119536	90	AmazonUS
A119537	27	AmazonUS
A119538	93	AmazonUS
A119539	81	AmazonUS
A119561	0	AmazonUS
A119565	44	AmazonUS
A119567	0	AmazonUS
A119570	55	AmazonUS
A119576	63	AmazonUS
A119583	6	AmazonUS
A119585	300	AmazonUS
A119591	169	AmazonUS
A119593	74	AmazonUS
A119594	120	AmazonUS
A119595	184	AmazonUS
A119596	88	AmazonUS
A119597	86	AmazonUS
A119600	3	AmazonUS
A119623	253	AmazonUS
A119626	128	AmazonUS
A119627	74	AmazonUS
A119650	36	AmazonUS
A119651	0	AmazonUS
A119658	46	AmazonUS
A119698	62	AmazonUS
A119754	123	AmazonUS
A119761	0	AmazonUS
A119763	136	AmazonUS
A119780	86	AmazonUS
A119781	0	AmazonUS
A119783	0	AmazonUS
A119784	45	AmazonUS
A119793	76	AmazonUS
A119799	17	AmazonUS
A119821	86	AmazonUS
A119822	36	AmazonUS
A119823	86	AmazonUS
A119824	52	AmazonUS
A119825	143	AmazonUS
A119836	37	AmazonUS
A119859	0	AmazonUS
A119865	62	AmazonUS
A119866	213	AmazonUS
A119888	0	AmazonUS
A119896	45	AmazonUS
A119911	0	AmazonUS
A119921	102	AmazonUS
A119922	142	AmazonUS
A119923	65	AmazonUS
A119924	76	AmazonUS
A119925	135	AmazonUS
A119926	67	AmazonUS
A119947	13	AmazonUS
A119952	86	AmazonUS
A119957	21	AmazonUS
A119958	137	AmazonUS
A119980	111	AmazonUS
A119981	23	AmazonUS
A119993	100	AmazonUS
A119996	32	AmazonUS
A119997	50	AmazonUS
A119998	187	AmazonUS
A1212201	0	AmazonUS
A12224	2	AmazonUS
A12225	8	AmazonUS
A12231	0	AmazonUS
A12233	35	AmazonUS
A12234	19	AmazonUS
A12413	90	AmazonUS
A12414	151	AmazonUS
A12415	264	AmazonUS
A12421	104	AmazonUS
A12497	6	AmazonUS
A12500	32	AmazonUS
A12510	6	AmazonUS
A1251201	0	AmazonUS
A12513	51	AmazonUS
A12532	102	AmazonUS
A1255701	98	AmazonUS
A1255901	54	AmazonUS
A12560	0	AmazonUS
A12569	118	AmazonUS
A12589	310	AmazonUS
A12645	50	AmazonUS
A12664	77	AmazonUS
A12666	116	AmazonUS
A12667	120	AmazonUS
A12670	102	AmazonUS
A12671	116	AmazonUS
A12672	74	AmazonUS
A12673	80	AmazonUS
A12674	113	AmazonUS
A12675	125	AmazonUS
A12676	87	AmazonUS
A12801	65	AmazonUS
A12804	521	AmazonUS
A12805	54	AmazonUS
A12806	812	AmazonUS
A12807	76	AmazonUS
A12942	0	AmazonUS
A12944	74	AmazonUS
A13094	0	AmazonUS
A13102	3	AmazonUS
A13205	120	AmazonUS
A13207	72	AmazonUS
A13329	1	AmazonUS
A13330	0	AmazonUS
A13417	97	AmazonUS
A13426	50	AmazonUS
A13427	31	AmazonUS
A13428	38	AmazonUS
A13450	1	AmazonUS
A13465	61	AmazonUS
A13467	82	AmazonUS
A13490	239	AmazonUS
A13492	297	AmazonUS
A13499	10	AmazonUS
A13500	75	AmazonUS
A13501	171	AmazonUS
A13506	7	AmazonUS
A13518	345	AmazonUS
A13519	290	AmazonUS
A13520	403	AmazonUS
A13521	459	AmazonUS
A13523	0	AmazonUS
A13527	365	AmazonUS
A13528	238	AmazonUS
A13532	45	AmazonUS
A13533	289	AmazonUS
A13535	178	AmazonUS
A13536	115	AmazonUS
A13539	180	AmazonUS
A13540	60	AmazonUS
A13541	232	AmazonUS
A13544	0	AmazonUS
A13545	131	AmazonUS
A13545-20CT	0	AmazonUS
A13549	315	AmazonUS
A13550	82	AmazonUS
A13551	448	AmazonUS
A13552	440	AmazonUS
A13553	382	AmazonUS
A13554	417	AmazonUS
A13555	396	AmazonUS
A13556	7	AmazonUS
A13557	450	AmazonUS
A13559	314	AmazonUS
A13560	311	AmazonUS
A13561	67	AmazonUS
A13562	311	AmazonUS
A13563	245	AmazonUS
A13564	359	AmazonUS
A13566	395	AmazonUS
A13567	328	AmazonUS
A13568	74	AmazonUS
A13569	142	AmazonUS
A13570	378	AmazonUS
A13571	116	AmazonUS
A13572	207	AmazonUS
A13573	250	AmazonUS
A13574	117	AmazonUS
A13576	150	AmazonUS
A13578	134	AmazonUS
A13583	0	AmazonUS
A13605	98	AmazonUS
A13643	328	AmazonUS
A13644	110	AmazonUS
A13645	303	AmazonUS
A13686	105	AmazonUS
A13721	61	AmazonUS
A13725	25	AmazonUS
A13729	76	AmazonUS
A13766	66	AmazonUS
A13767	82	AmazonUS
A13768	7	AmazonUS
A13769	49	AmazonUS
A13770	38	AmazonUS
A13771	55	AmazonUS
A13772	8	AmazonUS
A13898	55	AmazonUS
A13932	0	AmazonUS
A13941	2	AmazonUS
A13955	125	AmazonUS
A13976	51	AmazonUS
A13978	196	AmazonUS
A13980	15	AmazonUS
A13985	276	AmazonUS
A14033	7	AmazonUS
A14047	79	AmazonUS
A14068	26	AmazonUS
A14069	7	AmazonUS
A14070	111	AmazonUS
A14071	108	AmazonUS
A14153	6	AmazonUS
A14154	22	AmazonUS
A14155	85	AmazonUS
A14157	99	AmazonUS
A14165	17	AmazonUS
A14166	43	AmazonUS
A14182	0	AmazonUS
A14208	23	AmazonUS
A14209	44	AmazonUS
A14210	5	AmazonUS
A14212	127	AmazonUS
A14213	9	AmazonUS
A14214	97	AmazonUS
A14229	0	AmazonUS
A14234	27	AmazonUS
A14243	56	AmazonUS
A14244	183	AmazonUS
A14245	141	AmazonUS
A14246	51	AmazonUS
A14251	55	AmazonUS
A14252	33	AmazonUS
A14253	52	AmazonUS
A14254	68	AmazonUS
A14255	90	AmazonUS
A14259	44	AmazonUS
A14260	77	AmazonUS
A14263	123	AmazonUS
A14267	123	AmazonUS
A14269	52	AmazonUS
A14271	55	AmazonUS
A14307	109	AmazonUS
A14309	31	AmazonUS
A14312	59	AmazonUS
A14314	92	AmazonUS
A14323	0	AmazonUS
A14332	81	AmazonUS
A14355	154	AmazonUS
A14449	4	AmazonUS
A14451	6	AmazonUS
A14550	0	AmazonUS
A14551	164	AmazonUS
A14552	76	AmazonUS
A14553	63	AmazonUS
A14554	39	AmazonUS
A14555	103	AmazonUS
A14556	84	AmazonUS
A14558	36	AmazonUS
A14559	0	AmazonUS
A14559_2	0	AmazonUS
A14562	29	AmazonUS
A14563	0	AmazonUS
A14563_2	0	AmazonUS
A14564	0	AmazonUS
A14565	0	AmazonUS
A14565_2	0	AmazonUS
A14565_3	0	AmazonUS
A14565_4	0	AmazonUS
A14566	76	AmazonUS
A14567	30	AmazonUS
A14567_2	0	AmazonUS
A14568	0	AmazonUS
A14568_2	0	AmazonUS
A14641	119	AmazonUS
A14659	107	AmazonUS
A14666	104	AmazonUS
A14682	0	AmazonUS
A14685	0	AmazonUS
A14690	25	AmazonUS
A14712	111	AmazonUS
A14713	65	AmazonUS
A148071	0	AmazonUS
A14830	144	AmazonUS
A14832	134	AmazonUS
A14836	89	AmazonUS
A14844	14	AmazonUS
A14845	23	AmazonUS
A14845-BL	0	AmazonUS
A14845-LIME	0	AmazonUS
A14845-PU	0	AmazonUS
A14845-RED	0	AmazonUS
A14845-YE	0	AmazonUS
A14846	79	AmazonUS
A14847	7	AmazonUS
A14848	16	AmazonUS
A14849	42	AmazonUS
A14855	21	AmazonUS
A14958	87	AmazonUS
A14968	0	AmazonUS
A14995	140	AmazonUS
A14996	102	AmazonUS
A15034	108	AmazonUS
A15046	116	AmazonUS
A15059	7	AmazonUS
A15063	2	AmazonUS
A15067	93	AmazonUS
A15084	85	AmazonUS
A15086	28	AmazonUS
A15121	0	AmazonUS
A15291	0	AmazonUS
A15292	64	AmazonUS
A15310	93	AmazonUS
A15332	51	AmazonUS
A15346	70	AmazonUS
A15359	147	AmazonUS
A15360	80	AmazonUS
A15373	10	AmazonUS
A15403	119	AmazonUS
A15404	173	AmazonUS
A15536	55	AmazonUS
A15539	81	AmazonUS
A15543	82	AmazonUS
A15546	104	AmazonUS
A15550	4	AmazonUS
A15555	37	AmazonUS
A15556	29	AmazonUS
A15558	0	AmazonUS
A15560	100	AmazonUS
A15561	70	AmazonUS
A15563	51	AmazonUS
A15564	145	AmazonUS
A15598	107	AmazonUS
A15615	81	AmazonUS
A15779	0	AmazonUS
